ds,Units_Sold,Campaign_Spend,Discount_Applied,Loyalty_Score,Satisfaction_Score,Holiday_Period,month,rev_lag_1,rev_lag_3,rev_roll_3_mean,profit_lag_1,profit_roll_3_mean,is_holiday_month,Revenue,Profit,scenario
2025-01-01,1433.6666666666667,86497358.86666666,0.6569778111444778,74.9943145548172,4.181278691139128,0,1,318926477.3547515,338216509.31289905,338216509.31289905,75131343.81371893,78018770.803542,0,300550417.3333333,69390885.33333333,improvement
2025-02-01,1371.888888888889,85570861.69888888,0.6327271716160604,76.47708784740205,4.244107428047558,0,2,300550417.3333333,305607786.228604,305607786.228604,69390885.33333333,69937523.3394369,0,300550417.3333333,69390885.33333333,improvement
2025-03-01,1348.1851851851852,89383686.20012963,0.6144695621547472,78.38802059149675,4.3316615568604515,0,3,300550417.3333333,306675770.673806,306675770.673806,69390885.33333333,71304371.49346186,0,300550417.3333333,69390885.33333333,improvement
2025-04-01,1384.5802469135804,100223230.92684598,0.5847248483050952,81.61980766457201,4.452349225349046,0,4,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-05-01,1368.218106995885,105484815.21658137,0.5606405273586342,83.8283053678236,4.542706070085686,0,5,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-06-01,1366.9945130315502,113118497.39836352,0.5366116459394922,86.27871120796412,4.642238950765061,0,6,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-07-01,1373.2642889803385,122216841.69101985,0.5106590072010738,88.90894141345325,4.745764748733265,0,7,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-08-01,1369.4923030025911,130647725.81728646,0.4859703934997334,91.33865266308032,4.843569923194671,0,8,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-09-01,1369.9170350048269,140293508.21422344,0.4610803488800998,93.84210176149924,4.943857874231,0,9,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-10-01,1370.8912089959188,150710595.6936364,0.4359032498603024,96.36323194601094,5.044397515386312,0,10,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2025-11-01,1370.1001823344457,161633201.3946394,0.4109846640800452,98.8479954568635,5.143941770937328,0,11,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,1,300550417.3333333,69390885.33333333,improvement
2025-12-01,1370.302808778397,173510967.03262466,0.38598942094014915,101.35110972145789,5.24406572018488,0,12,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,1,300550417.3333333,69390885.33333333,improvement
2026-01-01,1370.4314000362538,186244326.24634516,0.36095911162683225,103.85411237477744,5.344135002169507,0,1,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-02-01,1370.2781303830322,199865589.62488353,0.3359777322156755,106.3510725176996,5.444047497763905,0,2,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-03-01,1370.3374463992277,214521338.44647712,0.3109754215942189,108.85209820464497,5.54408274003943,0,3,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-04-01,1370.348992272838,230241980.82178724,0.2859707551455756,111.35242769904067,5.644088413324281,0,4,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-05-01,1370.321523018366,247107748.40904003,0.26097463631849005,113.85186614046175,5.744072883709205,0,5,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-06-01,1370.3359872301437,265217242.60963333,0.23597360435276155,116.35213068138246,5.844081345690972,0,6,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-07-01,1370.335500840449,284650672.53884315,0.21097299860560909,118.85214150696163,5.944080880908153,0,7,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-08-01,1370.3310036963194,305507337.697048,0.1859737464256202,121.35204610960194,6.044078370102778,0,8,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-09-01,1370.3341639223042,327893846.92411774,0.1609734497946636,123.85210609931534,6.1440801989006335,0,9,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-10-01,1370.3335561530241,351919878.57800335,0.13597339827529764,126.35209790529296,6.244079816637189,0,10,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2026-11-01,1370.3329079238827,377706407.5596815,0.11097353149852714,128.8520833714034,6.3440794618802006,0,11,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,1,300550417.3333333,69390885.33333333,improvement
2026-12-01,1370.3335426664037,405382717.673691,0.0859734598561628,131.35209579200392,6.444079825806008,0,12,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,1,300550417.3333333,69390885.33333333,improvement
2027-01-01,1370.3333355811035,435086784.7943607,0.060973463209995846,133.85209235623344,6.544079701441133,0,1,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2027-02-01,1370.33326205713,466967432.17729765,0.03597348485489525,136.35209050654692,6.644079663042447,0,2,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2027-03-01,1370.3333801015458,501184158.2807172,0.010973469307017966,138.85209288492808,6.74407973009653,0,3,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2027-04-01,1370.3333259132598,537908043.846744,0.0,141.35209191590283,6.8440796981933705,0,4,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2027-05-01,1370.3333226906452,577322859.8168242,0.0,143.85209176912596,6.944079697110782,0,5,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
2027-06-01,1370.3333429018169,619625773.7453094,0.0,146.35209218998565,7.044079708466894,0,6,300550417.3333333,300550417.3333333,300550417.3333333,69390885.33333333,69390885.33333333,0,300550417.3333333,69390885.33333333,improvement
